name,birth,age,recept_balance,trade_term
강의전,1993-03-08,41,594229,13
김달항,1987-01-26,43,8598919,6
이감문,1959-07-01,67,2661621,15
김달항,1958-03-28,66,129727,5
김비치,1980-04-28,69,634096,3
진돈육,1963-10-24,69,1613015,2
이맹희,1995-01-30,63,210113,17
정위해,1993-07-13,37,510280,8
이여님,1960-07-19,42,309864936,2
오활출,1949-08-22,44,462567,13
김성염,1974-12-20,39,8941414,18
이슬증,1973-12-31,36,678544,10
박관아,1960-07-07,38,4413752,1
조점득,1974-01-23,27,567344,5
최종청,1981-12-10,53,423188,17
김숭임,1984-02-01,56,20646417,5
남담년,1961-04-15,36,900948,8
지설원,1957-10-17,60,24815465,8
정무언,1999-11-11,52,381251,19
한범염,1975-04-02,52,3532623,6
이록니,1957-04-28,47,762971,22
이슬증,1980-05-29,69,393070,7
이장근,1984-08-28,58,328866,8
김겸몽,1953-04-04,36,3108148,18
김희풍,1995-10-09,45,467313,18
안거희,1965-12-30,39,9109251,19
박벽인,1987-09-03,54,46581,19
이왕악,1963-11-03,57,907306,18
이치묘,1955-09-26,60,875126,9
김오용,1977-06-27,44,5123046,3
서지범,1995-08-09,46,775131,11
전준좌,1975-04-02,60,4459135,8
김이방,1962-10-17,66,598293,2
박담숙,1986-05-13,67,1742164,1
용복실,1982-06-20,57,9767650,4
장백포,1979-01-24,39,13236490,5
박련렬,1949-06-19,54,144388,1
황완환,1998-06-10,48,1837866,6
정녹래,1971-07-10,28,140337,16
김무극,1995-07-14,50,804564,9
윤판늠,1961-05-09,63,24532853,2
임승교,1948-03-27,25,4783318,5
이생휘,1983-01-25,36,678544,6
박백무,1973-05-22,71,48441,19
김승란,1960-09-27,43,588961,19
김무극,1996-05-23,39,1737886,2
조응람,1966-09-29,60,588698,14
허동흥,1965-09-18,62,8094971,14
김규님,1975-07-06,32,2283534,17
정슬령,1990-12-17,26,247742,3
강간돈,1969-05-02,46,863985,10
황슬칠,1988-02-13,34,8961877,8
양손육,1964-03-30,44,263767,17
홍회표,1991-03-14,32,8017047,12
김개혁,1986-12-01,57,8574873,1
최겸안,1996-12-07,53,16127125,13
차잠충,1983-05-12,35,391019,8
양사을,1992-09-12,48,6883725,12
김좌발,1961-04-28,56,689448,4
김육휴,1965-09-02,54,952357,14
정무언,1997-07-19,45,809440,9
신복녀,1989-01-08,52,16127125,17
이혁범,1987-03-14,46,775131,10
신종트,1991-07-02,54,14898788,18
임운서,1965-06-11,41,19522585,6
김샛샘,1997-04-24,39,754637,11
전법위,1995-04-16,54,775311,5
박심흡,1953-02-15,54,14898788,13
김랑술,1948-09-16,48,17284463,18
이슬탁,1953-11-05,30,20402797,3
이보곤,1985-04-27,54,29180982,13
이년초,1972-03-18,27,586924,14
장도육,1973-03-06,42,1376499,11
김견환,1985-02-27,29,11973271,9
남군섭,1981-03-02,51,173311,21
남융니,1995-12-15,43,524996,2
남타목,1972-05-12,41,8598919,5
강귀운,1965-11-24,25,414055,1
이서원,1994-03-16,23,318644,14
조단지,1975-03-25,44,6283253,6
김달항,1962-12-20,23,400852,16
김갈몽,1984-08-28,57,635593,13
이입의,1973-05-13,54,745906,9
윤태애,1993-08-25,36,925521,7
이효영,1977-01-27,57,79751,4
유정중,1969-09-02,63,48441,10
김명란,1984-11-09,43,5577833,16
정육륜,1964-03-19,51,129188,9
이서원,1963-09-15,43,959002,12
이랑덕,1989-08-04,59,167951,2
박백무,1970-12-05,36,678544,19
이하복,1981-05-10,25,80691,5
이융항,1993-02-21,29,15277198,3
육덕훈,1968-06-26,66,698246,5
정금양,1972-03-18,43,921528,15
양지영,1966-12-14,23,28438488,2
이담택,1976-08-03,48,865417,7
남단구,1968-11-23,56,921333,18
정온국,1993-05-09,28,1893555,7
한녹사,1956-06-22,53,648901,8
김국령,1990-04-24,56,209568,17
이혁범,1973-01-17,39,5237294,7
김오노,1965-07-04,30,11855537,19
서년,1961-04-30,49,589796,4
홍질결,1972-08-22,57,799121,9
허동흥,1974-07-09,46,825714,5
이숙엽,1961-03-14,71,210113,5
이필황,1949-04-13,32,7637614,16
이국제,1978-06-26,50,955143,16
남단구,1976-05-02,50,20437348,8
이긍시,1965-07-04,48,8591724,16
김감효,1956-06-22,59,929154,16
서구칠,1992-06-13,45,4821558,5
김충필,1970-09-29,46,545252,12
이담택,1974-11-09,63,7319485,15
김돌복,1996-11-28,53,1427992,8
박미풍,1988-05-31,29,50237672,4
박금완,1975-12-12,52,824027,6
박례군,1976-08-03,41,3510962,16
송내보,1980-04-28,32,16610469,13
이암련,1980-08-15,63,297012,8
박슬각,1955-02-23,53,98760,4
최암형,1992-04-17,41,690266,2
신여하,1969-08-04,53,14573172,19
김인휘,1979-03-14,46,272012,1
이차말,1964-09-26,48,428788,9
이어량,1955-10-10,29,29666474,9
서원명,1969-12-05,25,2950074,6
김갑량,1981-05-13,39,845245,11
이쌍요,1958-05-05,62,714927,16
안주두,1987-08-23,50,865417,6
양제생,1967-11-13,33,982439,7
박여고,1962-12-20,56,20646417,18
박묘달,1981-02-27,38,515430,13
박왕의,1961-04-30,43,6283253,8
김휴후,1987-09-03,28,20402797,5
정말향,1977-08-02,39,754637,10
이미양,1960-01-06,65,494724,1
변어직,1975-03-30,38,448832,16
곽매아,1978-04-26,62,714927,15
남단구,1977-11-26,62,712921,3
이슬탁,1949-08-22,40,4349922,10
양담실,1949-08-06,55,822562,14
조탁부,1962-09-06,57,867810,15
최곤돌,1968-09-05,45,718045,5
민기여,1967-10-20,30,21364304,12
한낙창,1967-02-10,36,936107,4
장붕록,1951-03-22,46,18695,17
임서월,1986-05-05,54,23038,19
송동부,1965-06-28,30,7637614,12
정범박,1984-02-01,71,8094971,16
김인휘,1998-04-20,70,4709410,3
양면송,1980-06-20,27,633016,7
김휴균,1963-12-04,63,943821,14
이나련,1989-06-02,67,617747,18
강곤향,1949-07-06,28,903951,11
안거희,1977-12-23,52,4559120,7
서인달,1977-03-02,58,9300196,5
최둘여,1971-10-06,41,920543,6
김담좌,1965-06-06,32,18938488,6
송랑현,1972-04-07,54,639501,16
신혁극,1961-04-15,63,309864936,16
김창택,1971-08-01,66,671392,11
이흔성,1955-10-14,46,775131,8
서년,1990-05-03,68,6815864,5
유년재,1963-12-06,31,56049,15
송부결,1965-02-05,59,19512419,10
강초한,1992-04-17,67,815325,14
이보곤,1978-07-01,63,7736475,7
김내내,1957-09-07,47,579364,14
조의규,1978-04-26,29,554057,16
신혁극,1975-05-15,32,461398,5
전새충,1957-01-01,36,5048394,1
김직익,1950-08-06,33,317561136,11
손흔사,1975-07-04,43,9127288,5
장미금,1980-05-29,47,834600,7
김민예,1963-06-22,22,355862656,14
송호흔,1963-10-02,67,397856,3
장욱견,1969-12-30,66,661805,14
김배손,1978-09-06,53,16399013,5
이희오,1985-09-01,53,16127125,12
김문협,1977-09-02,46,6951875,9
김년견,1955-12-12,35,568942,17
안후년,1957-10-17,21,28438488,13
하점석,1966-09-14,44,12429400,15
김환늘,1974-06-05,58,848681,7
백택례,1962-12-20,35,18457070,9
박두악,1981-02-27,34,692350,19
강창표,1956-06-22,53,6189128,9
정평목,1990-04-07,57,6184826,16
박수낭,1973-12-31,42,850586,3
하반방,1966-09-14,27,365324,12
김문협,1992-11-28,46,5776936,18
최천음,1963-12-04,25,80691,14
김득훈,1976-09-04,48,875157,16
이고후,1972-11-30,51,6378420,18
임승교,1976-09-04,30,223091,16
백법득,1989-08-04,66,8426258,15
이경율,1979-10-19,35,676017,1
강앵율,1951-07-22,40,8396438,14
임송달,1977-03-12,71,9035953,14
양문단,1992-06-13,50,23992801,6
이애두,1975-05-25,49,2355003,1
신열겸,1963-12-12,36,568942,2
박중근,1987-01-28,50,95259,2
유래방,1976-12-19,62,875126,11
김리소,1948-09-16,52,4559120,15
이맹명,1967-11-20,60,9485402,5
서원명,1971-12-18,41,672374,9
이관석,1987-02-12,22,196050331,2
최가면,1990-04-24,57,9285179,13
임갑엽,1962-10-24,29,21364304,14
이쌍요,1962-08-30,58,397569,4
안빈량,1964-03-30,58,903992,3
김암철,1961-06-27,38,840937,7
신열겸,1970-03-03,50,6912711,11
정녹래,1964-04-06,24,6485092,19
박웅죽,1956-03-15,38,963023,14
배등렬,1973-03-06,60,1508627,3
김세용,1949-07-06,27,903951,17
손노량,1977-01-14,45,690985,14
장용증,1999-08-29,66,427329,12
신혁극,1962-04-15,66,397856,12
신항길,1982-09-29,62,690985,14
이장난,1956-12-07,52,19398030,1
노무태,1997-10-22,49,604665,13
백택례,1993-03-31,34,101449,14
김로니,1980-12-03,69,259902678,5
박차제,1964-11-06,39,334936,9
박점법,1989-08-04,64,971543,7
서년,1992-09-11,35,806895,18
정맹건,1957-11-02,55,659390,19
이장난,1972-08-27,54,29180982,15
전내사,1963-01-04,52,7628176,10
박수낭,1969-02-18,58,149680,1
김다도,1967-10-20,56,3463291,3
정응사,1979-04-13,40,898105,8
최규자,1965-07-06,28,5625998,11
유갑업,1996-12-12,45,7177617,6
이관섭,1974-04-28,50,955143,7
한초기,1961-11-10,34,956606,2
최곤돌,1958-12-09,58,9300196,1
천긍팔,1973-05-22,48,579364,18
박슬각,1955-05-30,47,554758,4
윤스부,1996-09-09,58,167951,24
김칠년,1951-09-22,29,5829565,1
하반방,1996-01-15,25,28438488,3
최처매,1999-10-21,41,3591268,3
박홍말,1948-06-18,39,23877522,3
최가면,1979-01-24,53,284553,6
유공률,1954-09-24,62,129727,12
현판정,1970-01-14,26,247742,18
김조국,1992-10-17,60,1213533,2
박백무,1977-05-14,38,542823,10
오서지,1955-04-21,33,460681,13
김장미,1998-07-08,46,655268,12
조대건,1955-02-23,23,609343,9
박빛죽,1974-06-05,58,178026,5
김다홍,1988-08-30,25,309961,14
